record_kind,target,prev_id,next_id,offset,v101101_native_offset,v101103_break_evidence,classification,final_action,speaker_before,speaker_after,quote_role_around_boundary,RA19B_flow_action,reason,evidence_path
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.15.P005,,,163,162,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 162; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.15.P006,,,19,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.16.P015,,,104,103,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 103; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.16.P028,,,77,76,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 76; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.16.P045,,,194,193,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 193; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.17.P014,,,48,47,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 47; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.17.P024,,,183,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.17.P027,,,155,155,present,V101101_SPEECH_END_BOUNDARY_KEEP,KEEP,JESUS,,,,Exact v101.101 speech-end boundary exists at this offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.17.P044,,,294,293,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 293; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.17.P048,,,116,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.17.P058,,,65,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,FATHER,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.17.P059,,,99,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,MARY,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.18.P028,,,119,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.18.P031,,,157,156,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 156; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.18.P111,,,189,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.18.P113,,,149,148,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 148; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.19.P018,,,96,95,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 95; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.19.P097,,,564,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.19.P121,,,360,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.19.P126,,,146,145,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 145; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.19.P137,,,120,119,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 119; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.19.P165,,,151,150,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,FATHER,,,,v101.103 boundary is displaced from native v101.101 offset 150; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.19.P166,,,37,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.20.P010,,,64,63,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 63; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.20.P016,,,110,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.21.P023,,,20,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.21.P023,,,138,137,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 137; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.21.P025,,,93,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.21.P025,,,119,118,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,JESUS,,,v101.103 boundary is displaced from native v101.101 offset 118; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.21.P025,,,140,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,JESUS,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.21.P027,,,217,216,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 216; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.21.P059,,,287,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.21.P068,,,87,86,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 86; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.21.REF.P009,,,56,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.22.P006,,,147,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.22.P006,,,161,160,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 160; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.22.P022,,,24,23,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 23; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.22.P028,,,98,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.22.P029,,,89,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.22.P030,,,69,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.22.P031,,,145,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.22.REF.P001,,,216,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.22.REF.P001,,,238,237,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 237; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.23.P011,,,14,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.24.DESOL.P014,,,120,119,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,MARY,,,,v101.103 boundary is displaced from native v101.101 offset 119; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.24.DESOL.P027,,,80,79,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,MARY,,,,v101.103 boundary is displaced from native v101.101 offset 79; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.24.DESOL.P037,,,63,62,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,MARY,,,,v101.103 boundary is displaced from native v101.101 offset 62; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.HOUR.24.DESOL.P068,,,26,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,MARY,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.SECTION.BENEFITS.P004,,,98,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.SECTION.BENEFITS.P017,,,84,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.SECTION.BENEFITS.P021,,,12,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.SECTION.BENEFITS.P037,,,13,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
